b,s,temp,pH,r
1.083214579,4.093006414,3.76983389,9.032703122,-7.73E-06
4.232014184,3.326230329,12.09460929,8.607495761,-0.000180645
4.165973694,4.467779215,39.96077759,2.865211181,0.000487499
2.770920776,4.408714818,24.46915542,7.275384159,0.012876524
3.065435323,2.373558906,1.180198609,8.426932325,-3.21E-05
4.432882439,2.979222912,10.45258717,10.69697373,-3.59E-06
4.74955157,3.668069489,9.703912641,9.192969745,-6.05E-05
4.697145862,4.54806221,32.17171121,10.44186713,0.010319071
2.108804597,4.880030873,38.66895178,5.889182216,0.133505816
1.821043628,1.975534436,19.30382745,6.321565656,-0.000261256
4.278368783,1.346146398,16.91277574,4.657701967,-0.000102034
3.615151379,4.192389802,34.81834687,4.997615697,0.128824981
4.930719363,3.253238458,18.96160581,8.366851765,-0.000470622
3.483822014,1.452795399,19.74235146,7.664384625,-0.000191869
1.171767037,1.157371773,17.6130178,8.057881151,-0.000157981
2.5794955,4.443177523,9.054597479,6.670172838,-0.000330288
3.545907208,3.187249203,35.20148558,5.576038952,0.264108473
3.432833482,2.81308273,8.901497988,5.053617057,-5.22E-05
2.642674284,1.588770072,16.66802149,7.384222671,-0.000836914
4.732885479,2.91551659,17.98003363,11.83794359,-5.75E-08
2.887080833,4.683423098,34.1234145,4.835957282,0.082384224
3.120247847,3.744676624,22.69633869,6.805530857,0.006926135
3.74841556,2.12604837,18.67963319,9.553848638,-6.52E-05
2.637914041,2.939754996,32.74497546,6.3768573,0.449629301
4.087729222,3.527455232,15.68280526,6.205963239,-0.000910027
3.680014473,2.158815359,26.32360865,3.740022565,0.000439061
2.655771676,3.588014827,16.33546904,11.33059394,-8.81E-07
3.444490256,1.910390539,28.85662764,4.80124536,0.009158278
1.504781057,1.865086617,8.507736083,4.276864276,-5.61E-06
4.581851633,1.72737665,7.478530186,11.56251075,-9.90E-08
1.363469183,4.699282232,4.438602482,7.022389105,-0.000125984
3.528997916,4.663578681,1.868957425,9.845748984,-5.49E-06
1.822388123,1.064630936,37.35391279,11.62937641,5.37E-05
3.882834717,3.431609689,39.64853539,7.611270216,0.235727028
4.399419366,2.62146535,17.48017664,3.306346737,-1.02E-05
4.8030162,2.436642803,22.05264958,8.801906436,0.000955479
3.337497964,3.436141185,9.159268003,11.78449771,-2.22E-08
4.256168387,2.017034817,8.070111634,10.73902818,-1.91E-06
2.099364979,4.403405611,25.1721286,5.428751854,0.002802146
4.943940975,2.541052206,21.45130581,3.839199206,6.92E-05
4.732280346,1.29971993,16.94524956,6.067897604,-0.000761835
2.974582726,1.682405091,2.238920607,6.389151948,-8.47E-05
3.087847246,3.131672082,4.043553307,7.52727879,-0.000146298
1.23504769,4.679112275,30.90322902,8.44064218,0.040441112
4.971441835,3.219337954,25.94378887,4.442999731,0.002012146
4.382215255,2.209265021,9.049436544,10.99343852,-1.19E-06
4.941300039,1.600412771,7.603033395,4.930947845,-4.32E-05
3.148454546,1.456113794,9.088013325,4.678681198,-2.26E-05
2.776838801,3.115285049,37.87677333,10.88864192,0.001875832
2.023180643,1.05661058,38.66997864,4.068911937,0.00532347
2.457861356,1.540222902,3.192119304,11.08179814,-1.99E-07
3.965346368,4.870042633,9.279281092,3.252472732,-2.60E-06
4.561200354,3.965503312,33.3783897,7.15121435,1.509909325
3.416667304,2.534319832,12.89282358,8.353940589,-0.000218092
4.144465472,1.528890504,4.627925,8.577596815,-4.70E-05
1.394264134,3.858461445,16.18967389,5.215761246,-9.67E-05
1.784717996,3.492680147,33.63925053,9.456562822,0.030032127
2.970005844,2.222953413,21.81090906,5.2349164,0.000515535
2.64865574,3.387144657,38.13104729,11.15995538,0.000733466
1.495567551,1.669504776,26.42547975,4.343366003,0.000521856
3.798885365,2.76401728,5.862537211,11.42591492,-1.49E-07
1.131944036,3.059425877,6.811952066,6.370582193,-6.92E-05
4.783528773,1.044947066,1.653634414,8.632070333,-2.93E-05
4.150101022,1.844566398,34.80883206,6.785230267,1.080552451
2.632289336,4.335525861,35.41799564,7.709240274,0.500422745
1.42958404,4.257768646,28.61957499,11.86194625,9.05E-07
2.33922481,2.664839962,2.167947918,8.075281282,-4.45E-05
2.378112362,3.773086408,1.300167947,5.189289875,-1.69E-05
4.005568929,2.086711819,33.26831531,4.837657249,0.090228677
4.612598809,1.411008449,30.94451331,8.797127145,0.067860069
1.127890187,4.597507157,31.91171745,5.52868494,0.058561793
3.093988236,1.870882903,13.6403648,5.28962859,-0.000127543
1.79677588,1.529991344,26.29957812,5.413889344,0.002857089
4.663440802,4.605477943,23.27958086,6.695927597,0.012702106
1.860746894,3.425510976,3.941021978,4.590251229,-7.34E-06
3.361029726,2.674457863,4.394644418,7.195820165,-0.000228315
3.344654806,2.641245278,10.23402378,2.804529148,-6.07E-07
4.682170898,4.13984954,1.668866523,7.574742259,-0.000166405
2.915348699,1.353844219,37.56709419,11.03182613,0.001096183
2.862968077,4.413506361,17.4127909,7.879050294,-0.000725925
1.283064193,1.102462927,38.09717638,10.83616702,0.000635465
1.868609983,3.448964697,11.18129747,9.114543432,-3.36E-05
4.392980165,1.934295636,38.68227368,2.566737586,0.000281025
4.261876544,3.53181868,38.12728199,2.271677131,7.22E-05
4.404184469,4.104744733,3.003001722,10.14820521,-4.38E-06
3.591659441,2.01372803,19.93734282,11.90128248,-8.32E-10
1.037991964,3.7484314,28.73546447,6.777965156,0.037460079
4.25247855,4.800562358,13.45291189,4.178902942,-3.84E-05
3.585055386,1.854252087,15.48289485,6.416377643,-0.000819125
4.630888865,2.29868064,17.99380012,3.469771323,-1.49E-05
4.918775664,1.366938977,14.90316704,10.93430224,-3.55E-06
2.723738961,3.298367886,10.35643207,4.237776829,-1.49E-05
2.510566671,4.329930178,9.483790698,10.09463885,-6.91E-06
4.161140552,4.130260446,22.78544251,7.96487935,0.004170278
4.12629072,1.036619304,4.740973289,11.65082675,-2.87E-08
1.830535021,4.395516935,23.5787673,2.229525841,3.40E-07
4.878816024,2.300315126,32.31835381,11.8306162,3.05E-05
2.578411048,4.097025426,34.28477675,11.86510175,1.43E-05
1.32542735,2.53084414,36.04317242,8.214536027,0.120741474
3.695447682,2.470746585,37.51287608,10.81488003,0.003198686
1.475030797,1.049825913,26.55051502,7.466105918,0.008665438
3.274000827,4.01576084,14.26041782,2.822097884,-1.39E-06
2.972248822,4.258767422,1.336088938,8.73003414,-2.43E-05
2.4227077,2.998145038,12.58604356,9.060779143,-5.80E-05
4.763811187,1.494295769,16.05602413,9.12193948,-0.000150326
4.010655415,4.600141814,23.89514395,4.323665125,0.000598822
1.412375837,3.109625281,39.77179697,10.1706949,0.00184481
3.782323655,3.821040342,31.36953484,5.035808932,0.074825542
1.910450836,4.401476408,23.60030957,4.814287824,0.000547353
3.785271708,4.520404385,8.06919886,11.85130718,-1.00E-08
1.694446035,4.765238988,15.5907917,8.727021133,-0.00012118
3.698560911,4.902253193,15.24965885,4.357950563,-6.25E-05
2.267807707,4.440719283,27.75490576,10.0131408,0.001046958
1.905818204,3.607635644,11.00730501,9.235828775,-2.80E-05
1.788158842,4.429687663,19.01305736,2.061667674,-2.25E-09
2.164125886,1.805378286,12.09432989,5.853901909,-0.000140252
2.936148996,1.528491513,20.33092137,11.41508829,2.03E-07
3.339515596,2.198126405,4.959721493,6.03737889,-9.81E-05
2.148018972,1.998483938,23.52309136,6.124200719,0.002792483
1.317159666,1.490342663,34.04845199,2.690725216,0.000244589
3.722467894,2.878930516,34.11472193,3.653210042,0.011940815
4.023434817,4.464530981,10.49998934,3.061636781,-1.90E-06
2.195407077,3.506345457,11.38897708,10.67284033,-2.28E-06
3.292244981,4.746884622,1.386682462,6.028550109,-7.33E-05
1.906762495,4.069465959,32.90199967,5.242398687,0.087216437
4.149563182,3.965474292,14.09734455,11.81856484,-4.47E-08
1.00785851,1.113342779,16.19363314,9.255111169,-2.33E-05
1.554112427,3.115885128,18.35817346,5.713770796,-0.000205918
1.690006062,4.689087773,34.75609918,5.993865194,0.230037145
3.567045715,3.750467903,11.71394738,2.089543545,-5.57E-09
4.400811693,1.840185047,37.04715874,6.47881963,0.757565078
2.156519621,1.404861523,12.92967132,3.079895922,-1.16E-06
2.526719726,4.298683046,10.70153025,10.16824258,-7.32E-06
3.968732112,2.318785487,1.106388872,2.736166706,-1.55E-07
2.607850794,3.605445247,25.08028381,7.426327674,0.012799929
4.497779022,3.347590975,36.79830074,9.709441268,0.047588426
3.660117838,3.265482715,13.8305077,4.85272541,-9.79E-05
1.328123807,1.981056093,18.92430477,4.908946531,-4.14E-05
1.615769153,3.638128648,5.327720485,7.468698226,-0.00010009
4.448240624,1.186148808,16.01781678,3.882164261,-2.35E-05
2.742233333,3.760319705,8.537726223,9.790291496,-1.11E-05
3.921109396,1.285697073,10.96678832,4.943094096,-5.38E-05
2.428878653,1.54122519,6.885421091,4.488968598,-9.50E-06
1.73239345,4.348618181,8.559757528,11.58556541,-4.95E-08
1.977891313,4.93864575,33.62194515,8.131424775,0.229022438
1.399577705,2.248731352,35.43447009,6.744450429,0.372669349
1.374427545,2.47106366,31.30064551,5.724923785,0.059843275
1.896830422,3.337594032,34.0813443,5.309336667,0.099685074
4.809427258,2.178114911,1.870476319,5.195385121,-3.20E-05
3.346780226,1.22112864,32.81923151,6.276598811,0.380566084
2.862301852,2.951318743,14.5315872,7.500863418,-0.000701296
3.701653613,4.863456804,6.687923707,7.14291213,-0.00041324
4.027524659,2.917352985,39.22740214,11.98518263,8.56E-08
4.772194834,2.773454574,14.22315429,10.6526793,-8.06E-06
3.371234934,2.298820072,1.125216683,8.588626238,-2.81E-05
3.06775302,2.410363873,19.99078495,8.553643025,-2.59E-06
1.694000333,1.565616084,35.31081528,11.36573913,0.000257286
1.806819743,1.055190773,11.56488622,2.93930456,-4.47E-07
1.728989208,4.579078928,24.39330185,9.682022901,0.000315196
1.166512685,4.313718895,35.63161095,7.350333254,0.329264474
1.842144867,3.522258586,27.79872211,5.768101273,0.012375306
1.866841111,4.169927788,22.50548486,5.307795292,0.000639231
4.112205222,3.22339925,22.50419599,7.381812549,0.006548835
2.419121236,4.166634803,28.92584294,10.00971889,0.002107368
3.911640354,3.988290049,31.74332715,4.571749581,0.046113698
3.84588732,3.159513187,35.41700194,3.060396667,0.003038349
1.797461365,4.744708195,13.41764991,4.331912986,-2.10E-05
2.788410646,4.960688886,37.71293995,7.117387169,0.810784787
1.241281084,4.971149142,25.70405063,4.662791444,0.00070261
4.21898227,1.831142512,29.56722291,6.01338015,0.086063146
1.300725303,1.289567273,1.908076707,7.940357381,-2.18E-05
3.813854317,4.569230196,20.40795658,8.935917094,0.000108013
2.251484992,3.820441977,36.6093191,8.990594222,0.077518972
1.598152474,3.756372619,26.01753649,4.481734606,0.000737271
4.601228403,2.8901489,18.18596154,2.083826587,-1.34E-08
1.297038827,4.464850045,29.26579964,4.246346735,0.002213485
2.014219652,3.891340781,27.67194769,8.703270845,0.006971436
4.970518238,3.86743043,15.91644624,3.87537747,-3.74E-05
2.342742184,2.929740228,10.77269357,2.413835275,-8.67E-08
2.32149901,3.950396826,14.63184891,6.774198225,-0.000830531
1.35659054,3.42333755,24.67672496,8.125424072,0.002474365
2.00761387,4.019432727,34.51597655,4.348042278,0.025630761
3.797054384,2.41093971,31.62429783,7.087570238,0.744727597
3.448065325,4.019256027,24.05314628,7.752820019,0.007807301
2.378029762,3.379728805,38.48796713,9.429244966,0.024260916
3.986384995,3.600676078,29.67094797,5.626853194,0.064735704
2.604533597,4.677730802,6.343818761,4.169693228,-7.45E-06
1.715352486,4.307427338,32.48498963,4.13045703,0.012664604
2.800628636,1.925401431,32.87446275,4.690779473,0.046502104
4.73629472,1.312505322,24.45108662,2.716902246,1.39E-05
4.836078991,4.798976258,10.50284039,5.798571934,-0.00028839
4.875837238,4.713353157,18.79873334,11.85299262,-4.33E-08
3.788192226,4.456155131,9.848489302,11.40551969,-3.25E-07
1.035369508,2.467292849,1.038567754,8.057992501,-1.72E-05
3.960870376,3.866443962,29.85439763,4.296690746,0.010199351
2.742124883,1.501585338,30.86764839,8.831595462,0.037731352
2.443257701,4.9377252,27.48682113,8.186461768,0.015808984
4.117591028,2.540282092,12.50083672,4.962736579,-9.62E-05
1.689615621,1.47065336,7.979623,10.28952097,-1.84E-06
2.757978343,2.236420715,21.45731367,11.56351453,5.76E-07
4.522606743,2.640719172,33.40697517,4.405530061,0.055815862
1.424729649,3.555346852,8.745310248,8.777051754,-2.85E-05
2.435430654,2.179376944,20.51923634,11.42771996,2.96E-07
2.298005966,1.364979097,7.817136048,10.85769562,-6.32E-07
4.298208627,3.108612973,8.754943892,4.598753687,-3.30E-05
4.445034365,1.327347527,21.22745806,7.777293993,0.001379778
3.183151436,3.259280077,34.79782087,9.707501243,0.035337464
4.286752211,1.146991169,32.37894238,10.51839922,0.00553249
1.992887732,4.380507225,3.542407164,8.911885911,-1.67E-05
3.546312479,4.892799079,1.379285614,4.800713351,-1.52E-05
4.72025897,3.955976346,9.020874696,6.750112889,-0.00063983
4.847328992,3.001472874,12.15908498,2.475109695,-3.19E-07
4.957452253,3.501608026,15.51999994,2.766864624,-2.09E-06
1.995700653,1.380330788,8.407408672,2.253818135,-1.27E-08
1.951001221,2.831924125,3.46943512,4.559338975,-6.59E-06
3.303603688,4.66770497,9.73818012,6.8612666,-0.000579829
1.320033277,4.400214675,37.92048594,2.320913115,3.71E-05
1.252957955,4.513300109,2.068632549,9.356100815,-4.51E-06
2.578856503,1.879103161,31.60605683,6.450500606,0.283371579
1.987746324,3.21154833,24.20209549,6.248500413,0.004570811
4.768516273,4.505489237,3.564174496,3.836963524,-5.03E-06
3.198717939,2.750986708,8.822979382,7.50686733,-0.000293191
3.896819647,4.461987659,14.98628075,7.339087538,-0.001346162
4.418247472,1.549031501,24.72469948,3.514547566,0.000145322
1.301165148,1.082111975,22.3881814,4.174984311,4.65E-05
3.528531791,4.620244395,34.01759399,6.529713845,0.882443191
3.912853073,1.472469905,28.18839279,11.60482276,1.51E-05
1.828092472,2.718256154,15.94543461,10.23570683,-1.02E-05
1.811715702,1.026754996,29.79142269,2.273740747,6.40E-06
1.874721104,1.696903457,5.036198876,5.598078622,-2.95E-05
1.439162848,1.395862828,18.41161583,3.477579061,-3.67E-06
3.260500806,3.791060168,31.95393799,6.040066052,0.314806794
2.37249907,1.594004095,33.84534576,3.699234416,0.006894254
4.061867566,3.473275502,33.53998358,3.090722435,0.003490771
3.032966259,3.775098568,26.60499718,5.784175173,0.01172705
1.99722417,3.137048361,34.95868719,7.237681841,0.593709902
3.649559338,2.043833956,16.2253583,10.78009545,-5.70E-06
3.817365514,2.832559937,2.141687894,2.082894478,-1.20E-09
1.658183294,1.443569375,31.8776115,9.508601643,0.013434795
4.480800603,4.462031404,7.827130257,9.416352885,-3.15E-05
2.151273614,3.147939805,34.49987819,3.60008334,0.006321822
1.896441555,4.772704625,14.98666837,8.244504884,-0.00023181
4.663204699,4.995295118,2.487410204,10.5994642,-1.72E-06
2.936979935,1.198879914,4.318204974,7.65621941,-8.98E-05
3.713689238,1.458025767,30.83749345,10.3595965,0.003715691
1.193869696,4.914802697,36.29854235,7.093602829,0.444972716
1.858990843,2.091236266,37.37615878,9.167997749,0.037449654
4.558549664,4.563876839,12.87702712,9.49845186,-6.37E-05
4.766953959,4.320755593,18.06878466,9.823323714,-7.22E-05
1.434314961,4.349589386,25.34942223,3.08567824,2.85E-05
4.191686284,4.978155042,38.13942089,2.626568047,0.000566488
4.915793097,1.261759691,30.63495828,9.44761273,0.021749914
4.108370022,4.260286206,29.34089782,6.479248138,0.156823355
3.082949474,2.178819487,7.518745863,9.287609874,-2.13E-05
2.725471777,3.777284256,14.28403137,9.502911472,-4.68E-05
2.536678348,2.428776932,26.27576231,7.556736151,0.01644329
1.096689995,1.729929276,11.0962073,11.83844735,-4.33E-09
2.752091324,4.715718495,36.23507979,7.944804752,0.398954453
3.010688534,2.359798961,3.45676345,3.49598239,-1.32E-06
3.668534389,4.213734318,5.466256758,5.279942158,-5.13E-05
1.052642974,4.740356139,29.09884717,8.266375698,0.014719583
2.607420224,1.724426664,34.01434057,4.391396565,0.028176819
3.067867794,4.969492105,13.07820524,6.471953441,-0.000628893
3.401422535,1.863652829,31.43981264,4.507131148,0.02547973
2.396208951,4.449199475,13.96731771,2.693279237,-6.19E-07
1.653129515,2.644158204,13.92493688,10.77546389,-1.93E-06
1.954217253,3.993355981,18.37298283,4.332491471,-3.63E-05
2.268679562,2.28473582,13.3273108,5.696236858,-0.000161689
3.484567551,3.378067895,20.80450536,7.390367734,0.001366676
4.890457607,3.73245677,25.63055575,7.383658781,0.032042249
1.381598657,2.894057754,1.103252504,2.454335016,-1.67E-08
3.249506862,3.866564328,23.88391883,5.711884174,0.003556415
3.390311484,3.693618423,37.26978686,3.586917934,0.008869021
4.313193056,3.339750489,8.650255133,9.544124516,-2.63E-05
4.046080031,4.894878584,3.522390567,10.44603865,-2.40E-06
4.621408638,3.194423588,31.79259886,3.018656677,0.002124941
4.551408732,4.794970716,27.03480706,9.716149955,0.002529828
3.46852934,2.917142212,10.51875402,4.619780678,-3.57E-05
2.079978615,3.990560275,12.00737102,3.71963615,-5.90E-06
1.179318495,1.490381798,7.570598383,2.431700735,-2.36E-08
2.876918755,3.919852951,15.69330432,9.416128722,-7.26E-05
1.221512668,1.788153542,7.977061288,5.582989263,-2.90E-05
3.630057093,3.87290177,36.17176109,7.085363048,1.311205142
2.525210464,4.090491301,9.556525385,5.479286005,-8.34E-05
2.01937739,4.735530946,8.934280863,3.87777309,-4.92E-06
2.320018165,3.53888885,17.50643413,10.47812155,-9.58E-06
1.24017702,3.7549722,21.0603045,5.35014066,0.000149725
1.70792879,1.490402134,12.89369322,5.323704794,-5.94E-05
2.562183291,3.614041647,19.26836428,4.480243092,-3.69E-05
1.313216555,1.296471566,10.13035818,5.428792157,-3.12E-05
1.627155165,1.037002166,32.49036579,10.58482988,0.001773402
2.991004712,1.204264989,14.52240136,5.636474322,-0.000191594
1.782877701,4.851753082,10.85123279,9.511633631,-1.75E-05
3.281782697,1.109030946,16.19620156,11.68963664,-1.09E-07
1.080797143,3.111422152,35.99548837,2.61205261,0.000184675
1.296434008,1.014381802,38.96196795,7.41901936,0.094527574
4.591452865,1.382402287,11.87363137,9.833484642,-2.16E-05
3.149843156,2.153220048,39.37104896,3.385597682,0.001823036
3.93889278,4.378957517,9.439804219,4.14589274,-1.68E-05
1.298249424,4.020099885,15.12424852,2.772186794,-5.38E-07
2.591814844,1.778219224,33.93118339,11.11844208,0.001002324
2.927578592,4.983811767,1.918959872,8.179885916,-5.43E-05
2.999603343,2.737803013,15.43791419,5.873448361,-0.000405676
4.611740079,1.510893585,9.572684384,4.080915199,-1.32E-05
2.973169776,4.603579419,13.08796928,6.196524689,-0.000440942
3.156486203,2.621794903,33.43791964,9.709951684,0.032054972
3.373733999,3.848909516,14.67125299,2.418351978,-2.68E-07
3.892235751,3.10514166,27.16610969,10.25519285,0.000772504
4.273009554,1.631660147,18.86674183,9.585334798,-5.90E-05
2.593022947,3.455754521,14.33866803,3.90752347,-1.56E-05
2.043780308,1.795431435,8.144323743,2.547492797,-8.61E-08
3.868142981,3.75050047,21.61681669,10.21909662,6.07E-05
3.557714578,2.431981767,37.51927564,10.18019872,0.012771092
2.667356283,2.677940434,36.40793188,3.430792955,0.00506656
3.89141616,4.280861001,33.26200464,6.01369281,0.510244579
3.017282317,4.086776895,21.50673399,9.109983727,0.000295109
2.76919777,4.940836843,14.33898836,7.177877733,-0.001030957
3.328598449,4.873159509,35.02524133,10.3338882,0.01230137
3.663311013,4.585451767,23.18351392,10.85121215,3.46E-05
4.771469882,4.869553513,39.26525486,6.774211437,0.591869243
1.895232864,1.199898963,9.025124196,2.17756861,-5.68E-09
1.10314792,4.294340318,2.91254426,2.704861402,-5.55E-08
1.768043703,3.267561678,37.15184705,2.950263912,0.000921611
4.828879429,4.623199213,16.08306423,6.975993498,-0.002769566
2.860177124,1.47826877,31.07287172,7.139877049,0.338036692
3.141722076,2.702143609,32.84938231,5.53920007,0.193171521
3.07475384,3.800841275,30.05248438,7.982467546,0.103449294
4.114641093,4.971158185,32.82588082,3.081273827,0.003397807
2.829887422,3.305543981,23.25896207,9.335828703,0.000520641
3.720494187,1.120912473,7.297021597,10.90691046,-7.60E-07
3.964888622,4.047502956,24.9644057,10.59317351,0.000148984
2.923203554,2.152604529,17.11455306,11.97237946,-8.32E-10
1.832006393,1.859490312,31.28961312,3.570782467,0.002223751
2.971518528,1.323361694,8.63423192,6.075963181,-0.000127548
4.053271418,2.597591809,11.54231049,4.675507606,-5.23E-05
1.276090802,4.993589621,19.08374074,3.939177704,-8.89E-06
2.247952866,1.553744621,37.39340202,2.857877842,0.000661741
3.791133451,1.107031764,4.284192083,7.946042852,-7.94E-05
1.113245039,2.190368517,1.917193242,3.575096897,-4.68E-07
2.811364276,1.381058732,38.23724177,4.415517137,0.018797913
4.127773548,2.937595174,26.1058012,10.27815339,0.000469508
3.659786501,1.013234946,20.41709161,10.13253115,8.96E-06
3.619666713,3.652226606,12.31062911,8.403240364,-0.000214483
4.296120717,2.173111652,31.12073838,7.300803687,0.506001619
3.031181321,1.85278126,20.56535087,3.623583877,8.18E-06
4.883447585,1.160550163,8.3355352,11.24328343,-4.13E-07
2.314785243,3.814630351,26.66147927,5.606021885,0.007340643
3.35997257,2.329301326,21.86889282,9.44915049,0.00022179
4.26048854,3.459226042,39.72554942,11.60820011,7.11E-05
2.873236557,3.425908402,37.61323448,11.28435768,0.000617701
1.805587818,1.334475543,26.67465721,4.644428978,0.001056534
4.753051133,3.507957214,5.886599275,8.249286256,-0.000125979
1.529614979,1.889217263,6.321312004,8.149726789,-4.10E-05
3.919751996,4.726701913,31.88877911,11.847579,1.98E-05
2.070958821,3.960896565,17.93593203,2.882361573,-1.61E-06
2.091736058,3.506726119,33.13981426,9.767824054,0.020070265
1.393817668,1.764603652,8.578860265,4.953239876,-1.51E-05
4.38745473,2.231915483,28.30858042,6.125258337,0.052944074
4.687084772,4.524154142,19.65950863,5.159835962,-0.000104122
3.479741827,4.977341298,36.84541537,6.623137269,0.926302065
4.379142622,4.967303312,1.775975589,6.122199863,-0.000115126
4.435077255,1.573464027,8.605946903,4.560077313,-2.53E-05
1.781842273,1.927026739,21.40372388,3.56247899,1.24E-05
1.521826688,2.357916534,14.32753737,3.868637881,-7.66E-06
2.396800582,2.036949244,22.25874848,8.164596504,0.001182791
4.447703659,3.387380082,4.675038923,11.56825865,-7.70E-08
2.0696851,1.587277154,15.4938592,10.56812417,-4.42E-06
4.331729972,2.857320575,38.06735151,3.219605658,0.00354594
2.499531326,2.569530964,26.10808308,10.72887663,9.98E-05
2.702725517,3.595314834,9.478062769,8.527329833,-8.51E-05
4.129675578,3.614681885,16.96402005,3.973992779,-4.19E-05
2.034518398,1.842954514,10.17159814,4.250856508,-9.36E-06
1.588209106,4.525756294,10.25698084,4.963231583,-2.91E-05
1.038931415,4.474983093,14.49454914,3.837943233,-5.91E-06
3.571267497,4.928128915,36.23039685,7.919489098,0.537678737
3.22458269,3.640634337,26.23878066,10.73124719,0.000147871
2.940953201,1.208219425,15.7707075,8.022750226,-0.000355481
3.347964464,2.075730054,2.816242987,6.730987774,-0.000159749
4.382613703,1.749534937,23.56428868,4.394060347,0.000494766
4.502122526,3.893706448,25.74800994,8.427520782,0.009085622
1.633162073,4.471647413,22.81098365,2.395693553,7.46E-07
4.926409255,1.635325331,25.63930339,3.941452848,0.000584878
4.59466417,2.143921276,30.26518495,4.620547347,0.022198333
4.521961747,1.427486897,14.20216218,8.335852725,-0.000305353
2.339790084,3.864253751,23.96252456,3.939230491,0.000174302
2.251064106,2.994606394,25.35434059,2.901084048,2.40E-05
3.035531266,2.479947737,3.347428474,2.398505595,-3.37E-08
1.876903173,3.966769385,29.27416227,5.042876935,0.011069971
2.34807736,2.739063481,10.80569514,6.662127523,-0.000353388
2.368455933,4.622791884,11.61811454,7.200652012,-0.000529269
2.436184861,3.631371941,35.50114905,6.386686633,0.49810203
1.029693353,3.804816443,25.26911309,5.551856335,0.001637768
3.68481254,3.959889862,16.83302314,8.637854533,-0.000338729
1.428127463,4.984528806,34.84009904,5.170303121,0.067223758
3.002279584,1.811123523,27.75353786,4.184979938,0.001567394
1.109078471,1.929971726,12.84250556,10.8144502,-8.79E-07
3.600577245,3.171423927,21.31546466,2.298405517,2.98E-07
1.984624369,1.396576554,30.78053385,3.185808397,0.000653409
3.944791782,1.182987545,16.3800912,4.080027774,-3.17E-05
4.930007696,3.474623167,33.28771846,11.92921294,6.56E-06
2.468820315,3.695958793,38.16970877,2.019106202,1.60E-07
2.677236984,2.146966706,23.06688491,5.075964454,0.000742113
3.654000198,2.507549618,12.70313196,10.15275414,-1.35E-05
3.864191605,1.497651358,12.97964203,11.22918163,-8.19E-07
2.713366217,3.779450459,36.45554887,9.981752948,0.018671495
4.040677481,3.555895941,27.05821395,6.710348136,0.055640666
2.296348595,3.391722406,7.783146645,10.23560998,-3.52E-06
2.569939222,3.517381442,5.107864937,11.04437936,-3.84E-07
2.344151109,2.982041338,22.2437453,10.78906438,1.47E-05
1.512009179,1.056478699,5.554526953,8.902039656,-1.05E-05
3.98719716,4.262105252,8.080693463,9.406752334,-2.93E-05
4.071849041,3.103084733,23.7070628,4.809165957,0.001125382
2.505202516,3.377859538,28.10930281,7.784626414,0.033691178
